Name,Remix Link,Credit
Ice and Fire,http://download1347.mediafire.com/ez2251rb5srg/st7wcpe7n3zyhe0/OSRSBeatz+-+Ice+and+Fire.mp3,OSRSBeatz
Ice Melody,http://download943.mediafire.com/vmg6irptzgpg/9u8690qq5hp93su/OSRSBeatz+-+Ice+Melody.mp3,OSRSBeatz
Illusive,,
Impetuous,,
In Between,,
In the Brine,,
In the Clink,,
In the Manor,,
In the Pits,http://download1641.mediafire.com/8hmeg0zbndgg/dj0g8e3ak36ko77/OSRSBeatz+-+In+the+Pits.mp3,OSRSBeatz
Inadequacy,,
Incantation,,
Inferno,http://download2271.mediafire.com/jtu2nwkg4vug/s2f85425m1kszni/OSRSBeatz+-+Inferno.mp3,OSRSBeatz
Insect Queen,,
Inspiration,http://download1581.mediafire.com/vjhfv4w2i1hg/ofdzdd84ypzh4se/OSRSBeatz+-+Inspiration.mp3,OSRSBeatz
Into the Abyss,,
Intrepid,,
Invader,,
Iorwerth's Lament,,
Island Life,,
Island of the Trolls,,
Isle of Everywhere,,
It's not over 'til...,,
Jaws of the Basilisk,,
Jester Minute,,
Jolly R,,
Joy of the Hunt,,
Jungle Bells,http://download1582.mediafire.com/0sf10h9yocwg/5p9pggowopdf1c7/OSRSBeatz+-+Jungle+Bells+%28FIXED%29.mp3,OSRSBeatz
Jungle Hunt,,
Jungle Island,,
Jungle Island Xmas,,
Jungle Troubles,,
Jungly 1,,
Jungly 2,,
Jungly 3,,
Kanon of Kahlith,,
Karamja Jam,,
Kingdom,,
Knightly,,
Knightmare,,
Kourend the Magnificent,,
La Mort,,
Labyrinth,,
Lagoon,,
Lair,,
Lair of the Basilisk,,
Lament,,
Lament for the Hallowed,,
Lament of Meiyerditch,,
Land Down Under,,
Land of Snow,https://download1639.mediafire.com/tgb5g5ohf4yg/erbjupqnazobt06/OSRSBeatz+-+Land+of+Snow.mp3,OSRSBeatz
Land of the Dwarves,,
Landlubber,,
Last King of the Yarasa,,
Last Man Standing,,
The Last Shanty,,
Last Stand,,
Lasting,,
Lava is Mine,,
Legend,,
Legion,http://download942.mediafire.com/epkvzu27tqng/tm545fn2lae08ly/OSRSBeatz+-+Legion.mp3,OSRSBeatz
Life's a Beach!,,
Lighthouse,,
Lightness,http://download1523.mediafire.com/cuhqrnizpifg/4v4obxeq5th6f9z/OSRSBeatz+-+Lightness.mp3,OSRSBeatz
Lightwalk,http://download944.mediafire.com/dfmoqf2vx7yg/tdoc4sxiquws1ug/OSRSBeatz+-+Lightwalk.mp3,OSRSBeatz
Little Cave of Horrors,,
Lonesome,,
Long Ago,,
Long Way Home,http://download1580.mediafire.com/lj14herc12eg/5t48lis40ozia1i/OSRSBeatz+-+Long+Way+Home.mp3,OSRSBeatz
Looking Back,,
Lore and Order,,
The Lost Melody,,
Lost Soul,,
The Lost Tribe,,
Lower Depths,,
Lucid Dream,,
Lucid Nightmare,,
Lullaby,http://download1641.mediafire.com/kos476txh9jg/6p1ugalg61a07g6/OSRSBeatz+-+Lullaby.mp3,OSRSBeatz
Lumbering,,
The Lunar Isle,,
Mad Eadgar,,
The Mad Mole,,
Mage Arena,,
Magic Dance,http://download946.mediafire.com/ten3iztv77tg/9zxs37duxsh1afc/OSRSBeatz+-+Magic+Dance.mp3,OSRSBeatz
"Magic, Magic, Magic",,
Magical Journey,,
The Maiden's Anger,,
The Maiden's Sorrow,,
Major Miner,,
Making Waves,,
Malady,,
March,,
March of the Shayzien,,
Marooned,,
Marzipan,,
Masquerade,,
Mastermindless,,
Mausoleum,http://download1585.mediafire.com/q1nws2v87urg/6am3taodcm2aj81/OSRSBeatz+-+Mausoleum.mp3,OSRSBeatz
"Maws, Jaws & Claws",,
The Maze,,
Meddling Kids,,
Medieval,http://download1472.mediafire.com/peys81t2nxhg/ja9dmliw720el8x/OSRSBeatz+-+Medieval.mp3,OSRSBeatz
Mellow,http://download1588.mediafire.com/03rnxisl4gqg/9xrofckfrcgrrr2/OSRSBeatz+-+Mellow.mp3,OSRSBeatz
Melodrama,http://download1580.mediafire.com/o5j1hlxkufpg/55bdbqheeqfyg5h/OSRSBeatz+-+Melodrama.mp3,OSRSBeatz
Meridian,,
Method of Madness,,
Miles Away,http://download843.mediafire.com/syajwn4h28zg/w56qjamq9gol7kf/OSRSBeatz+-+Miles+Away.mp3,OSRSBeatz
The Militia,,
Mind over Matter,,
Miracle Dance,http://download1648.mediafire.com/52axbbrkm1og/dy0r1tjhey8zl3l/OSRSBeatz+-+Miracle+Dance.mp3,OSRSBeatz
Mirage,,
Miscellania,,
The Mollusc Menace,,
Monarch Waltz,,
Monkey Badness,http://download1645.mediafire.com/ld1tv4ccjy8g/o9zwt61co84fiyi/OSRSBeatz+-+Monkey+Badness.mp3,OSRSBeatz
Monkey Business,,
Monkey Madness,,
Monkey Sadness,,
Monkey Trouble,,
Monster Melee,,
The Monsters Below,,
Moody,,
Mor Ul Rek,,
Morytania,http://download1641.mediafire.com/jn0xwi2qfomg/8y8h52axswttlnt/OSRSBeatz+-+Morytania.mp3,OSRSBeatz
Morytanian Mystery,,
Mother Ruckus,,
Mouse Trap,,
Mudskipper Melody,http://download1076.mediafire.com/1xa2yu3cyuvg/t9zsic37z54a22w/OSRSBeatz+-+Mudskipper+Melody.mp3,OSRSBeatz
Museum Medley,,
Mutant Medley,,
My Arm's Journey,,
Mystics of Nature,,
Mythical,,
Narnode's Theme,,
Natural,,
The Navigator,https://download1523.mediafire.com/5kci4zlrc9pg/numgkyg839cuupm/OSRSBeatz+-+The+Navigator.mp3,OSRSBeatz
Nether Realm,,
Neverland,,
Newbie Farming,,
